"registrim","regisannee","sigle","nbcours","etudiants"
"3","2016","FIN3503",1,90
"3","2016","FIN3505",2,89
"3","2016","FIN3530",2,122
"3","2016","FIN5401",1,62
"3","2016","FIN5451",2,47
"3","2016","FIN5510",1,49
"3","2016","FIN5521",4,223
"3","2016","FIN5523",1,60
"3","2016","FIN5525",1,60
"3","2016","FIN5550",2,120
"3","2016","FIN5570",3,188
"3","2016","FIN5580",4,233
"3","2016","FIN5590",1,32
"3","2016","FIN6520",1,23
"3","2016","FIN8310",2,20
"3","2016","FIN8415",1,25
"3","2016","FIN8507",1,6
"3","2016","FIN8511",1,19
"3","2016","FIN8512",1,4
"3","2016","FIN8610",1,26
"3","2016","FIN8612",1,36
"3","2016","FIN8620",2,46
"3","2016","FIN8624",1,7
"3","2016","FIN8630",1,16
"3","2016","FIN8670",1,21
"3","2016","FLE0010",2,42
"3","2016","FLE0011",2,42
"3","2016","FLE0020",2,41
"3","2016","FLE0021",2,41
"3","2016","FLS0200",2,67
"3","2016","FLS0400",1,50
"3","2016","FLS0500",2,76
"3","2016","FLS0600",2,55
"3","2016","FLS1000",2,58
"3","2016","FLS2100",1,40
"3","2016","FLS2210",2,61
"3","2016","FLS2300",1,42
"3","2016","FLS2400",1,35
"3","2016","FLS2510",2,68
"3","2016","FLS2610",2,72
"3","2016","FLS2800",1,40
"3","2016","FLS3300",1,34
"3","2016","FLS3500",1,36
"3","2016","FLS3510",2,38
"3","2016","FLS3610",2,43
"3","2016","FPD1000",1,79
"3","2016","FPD5010",1,11
"3","2016","FPD5011",1,4
"3","2016","FPE1040",2,55
"3","2016","FPE1061",1,65
"3","2016","FPE2150",5,260
"3","2016","FPE2250",2,93
"3","2016","FPE2560",1,54
"3","2016","FPE2800",1,62
"3","2016","FPE3050",7,297
"3","2016","FPE4250",2,79
"3","2016","FPE4511",4,185
"3","2016","FPE4952",4,179
"3","2016","FPE5550",4,144
"3","2016","FPE7001",2,34
"3","2016","FPE7006",2,31
"3","2016","FPE7009",1,19
"3","2016","FPE7022",1,25
"3","2016","FPE7031",1,18
"3","2016","FPE7095",1,12
"3","2016","FPE7150",1,22
"3","2016","FPE7201",1,23
"3","2016","FPE7211",1,21
"3","2016","FPE7221",1,9
"3","2016","FPE7422",1,14
"3","2016","FPE7550",2,30
"3","2016","FPE7551",1,11
"3","2016","FPE7552",1,8
"3","2016","FPE7802",1,18
"3","2016","FPE7811",1,12
"3","2016","FPE7900",3,38
"3","2016","FPE7901",1,13
"3","2016","FPT1521",1,54
"3","2016","FPT2531",1,43
"3","2016","FPT3007",1,40
"3","2016","FPT3510",1,60
"3","2016","FPT6291",1,30
"3","2016","FPT870A",1,4
"3","2016","FSM2001",1,44
"3","2016","FSM3500",1,39
"3","2016","GEO1005",1,40
"3","2016","GEO1032",1,54
"3","2016","GEO1062",1,44
"3","2016","GEO1100",3,208
"3","2016","GEO1713",2,62
"3","2016","GEO2500",1,66
"3","2016","GEO2600",1,37
"3","2016","GEO3081",1,55
"3","2016","GEO3100",1,55
"3","2016","GEO3300",1,61
"3","2016","GEO3400",1,91
"3","2016","GEO3600",1,20
"3","2016","GEO4000",1,35
"3","2016","GEO4100",1,36
"3","2016","GEO4500",1,63
"3","2016","GEO5005",1,28
"3","2016","GEO5172",1,11
"3","2016","GEO6363",1,20
"3","2016","GEO7012",1,20
"3","2016","GEO7281",1,3
"3","2016","GEO7511",2,43
"3","2016","GEO7621",2,35
"3","2016","GEO7630",1,29
"3","2016","GEO8001",1,32
"3","2016","GEO8052",1,14
"3","2016","GEO8142",1,28
"3","2016","GEO8291",1,26
"3","2016","GEO8400",1,13
"3","2016","GEO8840",1,14
"3","2016","GHR1001",1,16
"3","2016","GHR1002",1,3
"3","2016","GHR2100",1,43
"3","2016","GHR3100",1,23
"3","2016","GHR3300",1,46
"3","2016","GHR4000",1,24
"3","2016","GHR4100",1,26
"3","2016","GHR4400",1,21
"3","2016","GHR5400",1,27
"3","2016","GHR5701",1,11
"3","2016","GHR6201",1,14
"3","2016","GHR6801",1,1
"3","2016","GRM700B",1,14
"3","2016","HAM585F",1,15
"3","2016","HAR1025",1,40
"3","2016","HAR1405",1,41
"3","2016","HAR1410",1,81
"3","2016","HAR1420",1,71
"3","2016","HAR1425",1,85
"3","2016","HAR1430",1,34
"3","2016","HAR1435",1,34
"3","2016","HAR1445",1,63
"3","2016","HAR1450",1,48
"3","2016","HAR1460",1,81
"3","2016","HAR1470",1,84
"3","2016","HAR1475",1,37
"3","2016","HAR1480",1,22
"3","2016","HAR3500",1,55
"3","2016","HAR3705",1,63
"3","2016","HAR4420",1,34
"3","2016","HAR4500",1,31
"3","2016","HAR4540",1,30
"3","2016","HAR4570",1,33
"3","2016","HAR4620",1,32
"3","2016","HAR4625",1,35
"3","2016","HAR4705",1,60
"3","2016","HAR4720",1,41
"3","2016","HAR4730",1,42
"3","2016","HAR8040",1,12
"3","2016","HAR806D",1,7
"3","2016","HAR820J",1,8
"3","2016","HAR915F",1,11
"3","2016","HIS1100",3,83
"3","2016","HIS1130",1,29
"3","2016","HIS2081",1,75
"3","2016","HIS2100",1,127
"3","2016","HIS2210",1,103
"3","2016","HIS2250",1,80
"3","2016","HIS2315",1,113
"3","2016","HIS2430",1,96
"3","2016","HIS2505",1,50
"3","2016","HIS2515",2,121
"3","2016","HIS2630",1,90
"3","2016","HIS3026",1,51
"3","2016","HIS4002",1,37
"3","2016","HIS4120",1,38
"3","2016","HIS4151",1,58
"3","2016","HIS4161",1,51
"3","2016","HIS4203",1,17
"3","2016","HIS4220",1,20
"3","2016","HIS4303",1,32
"3","2016","HIS4314",1,25
"3","2016","HIS4330",1,46
"3","2016","HIS4357",1,44
"3","2016","HIS4442",1,56
"3","2016","HIS4478",1,78
"3","2016","HIS4486",1,49
"3","2016","HIS4501",1,51
"3","2016","HIS4516",1,16
"3","2016","HIS4521",1,67
"3","2016","HIS4523",1,55
"3","2016","HIS4582",1,20
"3","2016","HIS4608",1,28
"3","2016","HIS4620",1,35
"3","2016","HIS4639",1,36
"3","2016","HIS4663",1,35
"3","2016","HIS4850",1,39
"3","2016","HIS529F",2,43
"3","2016","HIS5399",1,20
"3","2016","HIS6001",1,12
"3","2016","HIS7035",1,7
"3","2016","HIS7037",1,14
"3","2016","HIS708J",1,18
"3","2016","HIS9030",1,12
"3","2016","HIS9051",1,6
"3","2016","INF1026",1,47
"3","2016","INF1035",1,56
"3","2016","INF1120",4,264
"3","2016","INF1130",2,174
"3","2016","INF1256",2,62
"3","2016","INF2005",1,48
"3","2016","INF2015",1,77
"3","2016","INF2120",2,84
"3","2016","INF3135",2,83
"3","2016","INF3143",1,68
"3","2016","INF3172",1,35
"3","2016","INF3270",1,33
"3","2016","INF4100",1,16
"3","2016","INF4170",1,64
"3","2016","INF4211",1,37
"3","2016","INF4375",1,53
"3","2016","INF4470",1,55
"3","2016","INF5071",1,36
"3","2016","INF5153",1,31
"3","2016","INF5180",1,76
"3","2016","INF6150",1,25
"3","2016","INF7210",1,24
"3","2016","INF7215",1,14
"3","2016","INF8212",1,12
"3","2016","INF8652",1,9
"3","2016","INF8882",1,5
"3","2016","ING4001",1,8
"3","2016","INM5001",1,29
"3","2016","INM6000",1,47
"3","2016","ISC8001",1,11
"3","2016","ISS9110",1,3
"3","2016","ISS9200",1,3
"3","2016","JPN1100",2,96
"3","2016","JPN1110",1,59
"3","2016","JPN1200",1,28
"3","2016","JPN1211",1,25
"3","2016","JPN1300",1,20
"3","2016","JPN1400",1,10
"3","2016","JUR1023",1,58
"3","2016","JUR1027",1,80
